1556618502.000000, 1556618502.000000, 1556618502.000000
32.000000, 32.000000, 32.000000
-26,-7,58
-26,-7,58
-26,-7,58
-26,-7,58
-26,-7,58
-26,-7,58
-26,-7,58
-26,-6,58
-26,-6,58
-26,-7,58
-26,-7,58
-26,-7,58
-26,-7,58
-27,-7,58
-26,-8,59
-26,-7,59
-25,-7,57
-24,-6,57
-26,-6,57
-27,-7,58
-28,-6,59
-28,-7,59
-27,-7,59
-24,-6,58
-24,-7,58
-24,-7,57
-27,-7,56
-28,-7,55
-29,-8,57
-28,-8,58
-27,-7,58
-27,-6,60
-26,-3,60
-29,-7,58
-29,-5,59
-27,-3,62
-26,-5,61
-15,-7,63
-28,-10,60
-26,-9,58
-25,-7,61
-24,-8,57
-27,-20,43
-19,-16,56
-21,-11,60
-15,-21,52
-15,-17,59
-17,-15,60
-28,-13,56
-28,-12,60
-21,-15,55
-25,-15,53
-26,-13,59
-29,-11,57
-22,-15,60
-29,-11,57
-26,-13,53
-27,-11,60
-27,-11,59
-25,-13,55
-28,-10,59
-27,-11,59
-25,-15,56
-27,-15,51
-33,-11,59
-31,-11,60
-31,-10,54
-34,-12,53
-27,-10,60
-27,-11,56
-29,-12,54
-31,-10,56
-31,-10,56
-32,-11,56
-33,-9,58
-33,-11,58
-32,-12,51
-34,-14,53
-36,-15,46
-35,-12,59
-55,-7,47
-34,-9,55
-38,-12,46
-44,-12,40
-38,-14,47
-25,-12,41
-37,-11,42
-37,-21,48
-51,-18,42
-60,-12,38
-64,-11,29
-62,-11,32
-65,-5,30
-66,-3,31
-56,-3,33
-56,-4,31
-55,-6,31
-53,-6,36
-52,-7,38
-60,-6,32
-56,-3,37
-48,-5,42
-44,-6,41
-42,-7,41
-47,-7,42
-48,-7,38
-49,-3,49
-45,-4,43
-49,0,46
-49,1,41
-56,4,44
-48,8,50
-44,6,48
-49,4,41
-53,3,40
-55,3,39
-53,3,41
-44,3,47
-53,4,39
-56,2,36
-52,0,37
-49,1,43
-48,2,43
-49,3,42
-49,4,43
-51,2,42
-50,3,42
-49,4,43
-50,4,43
-52,4,41
-53,4,38
-53,4,38
-51,4,41
-51,4,40
-51,4,40
-53,4,39
-52,4,40
-52,4,41
-50,4,41
-50,3,42
-52,3,40
-50,4,42
-50,4,43
-49,5,43
-47,5,44
-51,3,41
-50,4,42
-50,3,43
-49,3,43
-49,4,42
-49,4,43
-48,4,44
-49,5,42
-49,4,41
-50,5,43
-52,4,40
-53,3,39
-50,4,41
-49,5,43
-50,4,42
-44,4,47
-47,5,45
-46,5,46
-45,5,47
-52,4,43
-49,4,44
-46,5,44
-48,6,44
-48,4,45
-54,3,39
-50,4,42
-46,7,46
-49,2,45
-48,2,43
-46,4,47
-44,5,47
-48,4,45
-47,3,44
-48,4,44
-47,4,44
-44,4,47
-44,3,47
-42,4,50
-47,5,45
-47,6,47
-51,4,41
-52,3,40
-43,3,51
-47,4,44
-44,3,47
-42,5,48
-47,6,47
-51,2,40
-57,0,35
-37,4,53
-41,6,50
-43,4,48
-45,4,53
-41,4,55
-50,1,32
-67,0,28
-66,-3,27
-52,-6,24
-52,-3,28
-60,3,37
-55,6,37
-51,11,45
-48,6,44
-48,4,43
-50,3,43
-49,2,42
-52,3,42
-50,4,44
-49,4,43
-49,4,43
-49,4,43
-49,4,43
-49,4,44
-50,4,42
-49,4,46
-45,4,44
-48,5,45
-44,6,47
-49,4,44
-49,3,45
-47,3,45
-49,4,43
-50,5,43
-51,3,39
-49,4,41
-45,5,49
-48,5,47
-47,4,42
-58,3,36
-48,5,48
-48,3,45
-47,4,44
-47,5,46
-46,4,43
-52,4,41
-52,3,40
-51,4,43
-48,4,48
-39,5,48
-46,4,44
-44,4,47
-43,5,49
-48,6,47
-46,4,45
-55,2,38
-44,4,53
-37,6,50
-46,5,45
-48,3,44
-46,3,46
-44,4,47
-47,5,46
-47,3,42
-50,3,41
-47,6,48
-41,6,52
-44,4,50
-47,5,47
-42,4,47
-45,5,48
-42,7,52
-44,7,46
-50,3,33
-62,2,31
-61,2,33
-57,-1,34
-57,-1,33
-56,-1,30
-59,-4,26
-56,-3,27
-59,-2,28
-61,-1,29
-61,0,31
-59,1,31
-57,1,32
-59,1,32
-59,1,32
-58,1,31
-58,1,32
-57,1,32
-56,1,34
-56,1,34
-57,1,34
-57,1,33
-56,1,34
-56,1,35
-56,1,34
-57,1,33
-57,1,33
-56,1,34
-56,1,34
-56,1,34
-56,1,34
-57,1,33
-56,1,34
-56,1,34
-56,1,34
-59,2,32
-61,1,30
-62,1,29
-64,3,30
-48,2,38
-60,-6,33
-56,-2,37
-45,-2,43
-45,0,44
-45,3,46
-44,4,47
-47,4,46
-53,2,41
-54,0,39
-55,-2,36
-55,-2,36
-54,-3,37
-54,-1,38
-52,0,38
-52,-1,38
-52,-2,40
-48,-2,41
-46,-2,42
-46,0,41
-57,-2,41
-62,5,42
-44,1,44
-48,1,43
-50,2,42
-52,3,41
-54,2,39
-54,2,39
-51,2,40
-50,2,41
-49,2,43
-51,2,41
-51,2,41
-51,3,41
-52,2,40
-51,2,41
-50,2,41
-51,2,41
-51,2,41
-51,2,41
-51,2,41
-52,2,41
-51,3,40
-49,2,42
-50,2,43
-50,3,42
-51,2,41
-51,2,40
-50,2,42
-52,2,41
-49,3,45
-47,4,45
-48,4,44
-47,3,46
-46,3,45
-52,2,39
-50,3,41
-47,4,45
-47,3,45
-48,3,42
-51,3,40
-51,4,43
-51,3,40
-53,3,38
-51,3,41
-48,3,44
-47,5,49
-46,5,46
-48,4,45
-50,2,40
-47,5,44
-49,4,44
-49,3,42
-55,3,40
-46,4,47
-45,4,43
-45,4,44
-48,3,43
-52,3,39
-51,4,42
-48,4,44
-47,4,45
-47,4,45
-50,3,44
-44,5,47
-41,6,49
-46,4,47
-47,3,45
-48,3,44
-46,4,46
-45,4,49
-44,4,48
-45,4,45
-48,5,48
-52,-2,39
-56,-4,37
-48,-1,38
-42,1,39
-36,9,46
-46,11,54
-38,4,42
-63,3,40
-51,1,39
-49,2,44
-47,3,44
-50,3,43
-48,3,44
-44,7,47
-48,3,44
-49,2,44
-49,3,45
-45,4,47
-47,5,44
-52,2,40
-49,3,43
-50,3,43
-50,4,43
-45,6,46
-46,5,46
-47,3,46
-47,4,43
-51,3,41
-50,3,41
-49,4,43
-46,4,46
-43,5,48
-46,5,46
-46,4,47
-48,4,45
-49,4,44
-48,5,44
-44,5,48
-44,4,46
-47,4,46
-48,4,44
-50,4,44
-51,4,41
-51,4,42
-47,4,46
-45,4,47
-47,4,45
-44,4,45
-44,3,48
-43,5,50
-46,6,46
-48,4,46
-49,1,43
-44,4,47
-42,5,49
-47,5,47
-51,0,38
-51,0,40
-47,3,42
-42,9,48
-43,9,52
-43,4,44
-55,3,41
-50,2,42
-47,3,45
-49,2,42
-52,4,42
-40,8,54
-47,5,46
-49,2,43
-49,2,44
-47,5,46
-45,5,47
-45,4,46
-44,4,46
-50,4,45
-52,3,38
-53,4,40
-47,4,46
-45,5,47
-48,4,44
-48,5,48
-43,4,45
-44,4,48
-43,6,48
-48,5,46
-48,3,45
-47,3,46
-42,6,47
-47,6,45
-50,2,41
-51,1,41
-47,1,42
-43,3,46
-40,9,53
-48,3,43
-53,3,42
-45,4,47
-45,5,48
-49,4,43
-45,3,45
-48,4,44
-42,6,49
-44,7,48
-48,5,47
-46,5,47
-45,3,46
-47,4,48
-46,4,44
-44,7,53
-39,7,49
-44,3,45
-52,3,44
-49,4,43
-49,5,43
-49,3,42
-50,3,44
-41,6,54
-46,4,48
-44,7,47
-44,8,48
-45,3,47
-43,3,48
-49,3,43
-48,3,45
-48,6,45
-41,6,50
-42,5,49
-44,3,46
-45,7,53
-40,12,60
-43,15,56
-64,12,46
-47,0,28
-44,-2,22
-47,-5,24
-54,-7,24
-65,-7,21
-64,-4,32
-54,-8,34
-63,-5,27
-62,-6,25
-65,-8,23
-61,-8,25
-54,-6,30
-61,-5,26
-57,-4,29
-55,-3,38
-50,-3,43
-50,-4,42
-50,2,45
-52,2,47
-42,3,51
-40,3,52
-46,2,45
-46,-1,42
-50,4,47
-42,4,48
-45,4,46
-48,3,45
-47,3,45
-47,3,45
-46,3,48
-50,4,44
-42,2,48
-45,3,47
-50,2,45
-44,2,48
-44,6,48
-45,5,46
-49,2,44
-47,1,46
-45,2,46
-47,2,47
-42,6,49
-45,4,47
-47,2,45
-49,0,43
-52,2,41
-50,1,42
-43,3,50
-44,2,48
-42,6,50
-42,4,50
-42,4,48
-49,1,43
-53,0,39
-47,1,43
-42,4,51
-46,4,47
-46,3,47
-48,1,45
-47,1,47
-43,3,47
-41,7,49
-46,5,49
-45,1,46
-51,-2,42
-51,-1,43
-44,3,47
-39,7,52
-39,4,52
-50,3,45
-54,-1,41
-62,-4,32
-47,2,41
-35,5,53
-43,5,49
-45,5,51
-51,5,43
-56,2,41
-56,-1,39
-52,-3,36
-51,-2,38
-52,-7,34
-54,-9,35
-53,-6,31
-47,-5,36
-49,-5,43
-49,-2,45
-52,-1,44
-46,1,46
-47,2,47
-46,1,42
-44,-1,45
-41,2,50
-52,7,47
-51,5,47
-52,1,39
-57,1,32
-55,4,38
-46,2,45
-47,2,45
-52,2,40
-58,1,34
-52,2,40
-49,3,44
-48,2,43
-54,2,38
-51,2,41
-49,2,42
-51,3,42
-51,3,41
-48,3,44
-52,3,41
-52,2,41
-50,3,42
-50,2,41
-49,2,43
-48,3,45
-49,4,43
-47,3,44
-50,2,42
-50,2,41
-50,3,42
-54,3,40
-47,4,45
-48,3,43
-50,2,41
-51,3,44
-49,3,42
-55,3,37
-50,3,42
-50,3,43
-48,3,45
-44,3,48
-46,3,45
-47,5,46
-45,3,47
-54,1,40
-47,2,44
-45,4,45
-49,4,45
-53,0,40
-55,-3,38
-51,1,43
-42,4,43
-42,7,44
-47,8,59
-37,5,49
-60,2,39
-49,2,43
-46,4,47
-48,4,45
-49,4,43
-48,3,45
-47,4,46
-51,2,43
-46,4,46
-47,3,46
-45,5,47
-47,5,46
-45,2,46
-50,2,44
-43,4,47
-46,5,45
-48,4,46
-49,2,43
-50,2,43
-46,3,46
-45,4,47
-45,4,47
-46,4,47
-46,4,46
-46,4,46
-45,4,47
-46,4,46
-46,4,47
-45,4,47
-46,4,47
-44,4,47
-46,3,47
-46,4,48
-42,4,49
-41,5,50
-43,4,49
-47,2,45
-50,1,43
-43,4,47
-45,4,47
-48,4,44
-40,4,50
-44,4,50
-41,4,50
-47,4,46
-48,0,42
-51,0,42
-55,-2,44
-48,-2,40
-40,0,43
-35,8,46
-55,13,60
-38,6,47
-58,3,42
-52,2,41
-47,2,47
-49,4,43
-51,3,41
-49,3,42
-49,4,43
-50,3,43
-50,3,42
-48,4,45
-49,3,43
-48,3,43
-44,5,46
-48,5,44
-49,3,44
-51,1,41
-48,4,43
-44,5,46
-48,4,47
-56,2,38
-55,2,41
-42,5,51
-41,7,49
-46,4,47
-50,1,43
-47,3,45
-48,5,43
-48,6,46
-47,3,45
-48,3,45
-47,3,49
-45,4,47
-46,5,47
-47,4,46
-47,4,47
-45,1,45
-49,3,46
-46,2,46
-54,3,39
-49,4,45
-38,8,48
-44,5,48
-47,1,45
-49,3,45
-43,2,48
-45,5,46
-47,5,45
-43,4,50
-44,2,45
-45,3,45
-42,6,51
-43,9,54
-49,10,51
-70,12,48
-46,5,46
-59,0,36
-51,-3,39
-40,-8,44
-38,-14,43
-32,-19,45
-37,-17,46
-27,-17,56
-27,-12,53
-22,-13,56
-32,-13,55
-29,-16,54
-27,-15,55
-29,-11,57
-24,-12,60
-26,-15,54
-18,-15,59
-23,-13,57
-23,-15,63
-8,-14,58
-8,-13,61
-10,-10,61
-7,-6,60
-10,-5,63
-12,-7,61
-6,-7,63
-14,-3,66
-7,-1,64
-8,-2,62
-9,-2,64
-11,-2,62
-16,0,65
-11,0,64
-12,-2,62
-12,-2,64
-12,-3,63
-13,-3,61
-13,-4,62
-12,-2,63
-12,-3,61
-13,-4,61
-12,-4,63
-11,-3,63
-13,-4,62
-13,-3,63
-14,-2,63
-14,-2,62
-18,-2,61
-17,-1,64
-21,0,64
-27,6,70
-38,12,66
-43,9,60
-36,10,61
-28,10,61
-19,2,52
-16,-4,48
0,-18,43
0,-23,52
2,-23,56
16,-28,65
15,-30,64
11,-28,59
-2,-28,60
-2,-28,61
6,-19,63
-2,-16,64
-9,-13,73
-7,-12,71
-5,-13,60
-5,-15,57
-7,-14,57
-17,-14,56
-7,-15,67
-6,-14,65
-10,-15,56
-7,-8,56
-17,-9,65
-21,-10,62
-19,-15,63
-16,-14,58
-18,-14,56
-16,-13,63
-16,-14,63
-16,-16,59
-16,-15,59
-17,-14,60
-19,-14,59
-16,-15,59
-17,-15,58
-18,-15,59
-19,-15,59
-18,-15,60
-17,-16,59
-19,-16,58
-20,-16,58
-19,-16,59
-19,-16,58
-20,-16,58
-21,-16,58
-20,-16,58
-19,-16,58
-19,-17,58
-21,-16,59
-19,-16,59
-20,-17,58
-20,-16,58
-21,-16,56
-17,-16,60
-20,-16,59
-21,-16,58
-20,-16,58
-19,-16,58
-18,-16,58
-18,-16,59
-20,-15,61
-19,-17,61
-17,-16,59
-19,-17,59
-18,-16,59
-21,-17,57
-19,-17,56
-19,-17,58
-20,-16,56
-19,-17,55
-20,-16,55
-20,-16,58
-20,-17,58
-20,-17,58
-21,-18,58
-19,-17,59
-17,-17,59
-19,-17,59
-19,-17,59
-18,-18,57
-18,-17,59
-19,-17,58
-18,-17,59
-19,-17,59
-19,-17,59
-18,-17,59
-18,-17,55
-17,-17,57
-11,-16,62
-5,-14,72
-7,-14,70
-12,-14,62
-18,-13,59
-20,-13,63
-27,-15,57
-35,-17,53
-38,-17,46
-45,-20,36
-53,-20,28
-50,-23,26
-52,-23,25
-52,-22,26
-50,-22,25
-57,-21,20
-56,-22,20
-52,-23,18
-52,-24,17
-58,-23,15
-58,-20,23
-52,-20,28
-57,-20,23
-63,-17,22
-63,-9,35
-59,-10,39
-48,-11,40
-52,-9,49
-51,-10,52
-41,-10,54
-35,-9,55
-31,-12,51
-38,-6,56
-44,-7,55
-27,-10,54
-20,-8,57
-38,-15,53
-32,-16,53
-26,-19,52
-31,-16,55
-35,-16,52
-26,-15,53
-27,-13,51
-32,-6,55
-31,-4,57
-33,4,59
-39,7,58
-37,7,63
-32,2,69
-32,-2,65
-25,-10,62
-22,-20,57
-17,-23,56
-17,-27,52
-30,-31,44
-12,-29,52
-9,-32,50
-10,-32,49
-1,-35,52
8,-30,57
-6,-21,61
-6,-17,58
5,-9,58
0,-7,58
6,-4,54
8,-2,64
10,1,65
14,0,65
15,0,64
11,5,62
8,3,73
8,-2,74
4,-4,69
-1,-4,63
-2,-5,56
6,-7,55
12,-16,51
22,-14,59
21,-12,60
25,-17,54
27,-15,56
30,-14,59
30,-16,54
28,-15,56
24,-13,56
24,-13,55
24,-12,55
24,-11,55
25,-13,54
25,-12,56
26,-12,55
27,-11,55
26,-11,55
28,-11,55
22,-7,62
22,-8,64
23,-11,57
15,-7,59
0,-6,71
5,-11,59
8,-6,64
-11,-13,59
-2,-11,62
3,-19,55
-3,-20,57
-13,-18,59
-12,-18,56
-9,-20,58
-14,-17,59
-13,-16,59
-15,-19,57
-15,-20,57
-15,-20,57
-16,-19,57
-16,-18,58
-14,-17,59
-13,-17,60
-13,-18,59
-13,-17,59
-12,-18,60
-12,-18,59
-12,-18,59
-11,-17,59
-12,-16,59
-13,-14,60
-13,-15,60
-17,-14,58
-16,-12,59
-17,-11,59
-17,-11,60
-16,-11,60
-18,-8,61
-12,-4,66
-9,-4,66
-9,-1,68
-9,-1,67
-5,-6,63
-4,-9,64
-1,-11,63
-10,-12,60
-7,-13,59
-8,-14,59
-10,-13,61
-7,-9,51
-16,-9,50
-25,-18,54
-10,-15,62
-15,-19,58
-23,-25,54
-19,-29,56
-22,-32,58
-22,-32,58
-24,-34,52
-28,-36,42
-25,-36,40
-17,-37,35
-17,-32,37
-29,-23,49
-40,-17,57
-37,-21,57
-30,-21,68
-24,-22,73
-18,-20,57
-26,-15,46
-30,-14,54
-26,-11,51
-23,-13,46
-27,-12,45
-31,-12,47
-33,-16,56
-35,-13,80
-34,-14,77
-29,-6,53
-28,4,63
-21,7,65
-25,5,63
-26,1,62
-27,0,60
-26,2,60
-24,1,59
-24,-2,58
-23,-1,57
-22,-2,57
-26,-2,60
-24,-1,59
-23,-1,58
-24,0,59
-23,1,60
-22,0,59
-24,-1,60
-25,-1,61
-26,-5,59
-25,-4,59
-24,-3,60
-24,-1,62
-24,1,60
-21,-1,59
-24,-4,60
-24,-3,60
-23,-3,59
-24,-3,59
-21,-2,58
-23,-5,56
-25,-4,61
-23,-4,57
-25,-7,61
-24,-5,61
-25,-2,58
-26,-1,60
-27,1,60
-26,2,58
-22,-5,52
-28,-10,60
-28,-10,61
-26,-12,56
-29,-13,56
-28,-11,58
-27,-8,58
-27,-7,58
-29,-6,58
-32,-6,59
-30,-7,60
